fecha,cuenta,texto
Fri Dec 02 04:10:55 +0000 2016,Daniel428,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Fri Dec 02 03:20:00 +0000 2016,PQPP3,"RT @gaddialawi: ""Mexicans can now visit Canada with an Electronic Travel Authorization (eTA), which costs 7 Canadian dollars and... https:/…"
Fri Dec 02 03:16:25 +0000 2016,cowriot,"RT @gaddialawi: ""Mexicans can now visit Canada with an Electronic Travel Authorization (eTA), which costs 7 Canadian dollars and... https:/…"
Fri Dec 02 03:16:01 +0000 2016,itsWanda,"RT @gaddialawi: ""Mexicans can now visit Canada with an Electronic Travel Authorization (eTA), which costs 7 Canadian dollars and... https:/…"
Fri Dec 02 03:13:19 +0000 2016,gaddialawi,"""Mexicans can now visit Canada with an Electronic Travel Authorization (eTA), which costs 7 Canadian dollars and... https://t.co/sLm20XZjj4"
Fri Dec 02 03:10:46 +0000 2016,SongsOfLaredo,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Fri Dec 02 01:22:15 +0000 2016,bgwinettem,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 22:47:31 +0000 2016,murphyamanda,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 22:24:23 +0000 2016,jeedew,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 21:09:48 +0000 2016,brianpiero,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 19:58:16 +0000 2016,WTKR3,Watch live: Trump &amp; Pence visit Indiana company that will keep jobs in US instead of moving them to Mexico… https://t.co/zVKLPu75MW
Thu Dec 01 18:35:39 +0000 2016,BlakeMcCoyDC,"Stage is set for Trump visit to Carrier Air in Indianapolis. 1,000 jobs saved from moving to Mexico. https://t.co/gdVEKvDjn3"
Thu Dec 01 17:43:06 +0000 2016,top_hat_321,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 16:54:10 +0000 2016,plethora1948,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 16:44:15 +0000 2016,cynical_tutu,"RT @PolicingWatch: So @BreitbartNews thinks moving more jobs to Mexico (1,100) than number you keep in US (1000) is ""winning"" #MAGA? https:…"
Thu Dec 01 16:28:13 +0000 2016,mkrupanski,"So @BreitbartNews thinks moving more jobs to Mexico (1,100) than number you keep in US (1000) is ""winning"" #MAGA? https://t.co/JWylxyAiZK"
Thu Dec 01 16:17:57 +0000 2016,ChibiCarol,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 16:13:07 +0000 2016,Martha12174,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
